precision,recall,f1,hashcode
0.852976561,0.845977128,0.849462509,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.858243227,0.853980482,0.85610652,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.966536522,0.893118858,0.928378463,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.834405065,0.842929423,0.838645577,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.849042058,0.843002081,0.846011281,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.829885364,0.838692069,0.834265471,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884045124,0.865932822,0.874895215,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.855682671,0.848567843,0.852110386,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.846506774,0.850793898,0.848644912,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883596897,0.87154448,0.877529263,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.966536522,0.893118858,0.928378463,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.863420606,0.850420594,0.856871307,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.939581454,0.88517642,0.911567867,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.8466236,0.840464711,0.843532979,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881709456,0.845620871,0.863288164,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881604552,0.852106154,0.866604328,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.859212875,0.851771235,0.855475903,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.845363259,0.845252991,0.845308125,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876582026,0.858432531,0.867412329,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.928763032,0.863042653,0.894697607,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.892847896,0.865310609,0.878863633,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872270882,0.854766846,0.863430202,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.867067516,0.853345811,0.860151947,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.892476082,0.871257007,0.881738842,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874882221,0.855024815,0.864839494,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.855479479,0.83630532,0.84578371,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.863265872,0.850971818,0.857074738,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.86753124,0.856297731,0.861877859,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871750355,0.854354799,0.862964928,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.919658601,0.84354943,0.879961431,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.856084049,0.831974387,0.84385705,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88146168,0.851960778,0.866460145,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.888630986,0.843303323,0.865374029,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.899626017,0.84150672,0.869596362,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.891909778,0.874536932,0.883137882,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881794035,0.844098985,0.862534881,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.903188944,0.869961441,0.886263847,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.96076417,0.877472639,0.917231441,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.96076417,0.877472639,0.917231441,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.842867136,0.832382619,0.837592065,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871507466,0.883080184,0.877255678,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.969451725,0.896863997,0.931746304,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.857025981,0.845803559,0.851377785,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870170951,0.863890767,0.867019475,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884156346,0.854945421,0.869305611,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877538741,0.852209866,0.864688873,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879408658,0.859954953,0.869572937,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.969451725,0.896863997,0.931746304,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.969451725,0.896863997,0.931746304,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.852422774,0.857740462,0.855073333,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.90384376,0.863584936,0.883255839,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.844813287,0.850539565,0.84766674,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.890186608,0.867593646,0.87874496,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.847367764,0.844809353,0.846086681,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.818953753,0.834079385,0.826447368,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.891116738,0.879912734,0.885479271,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.894094825,0.858227372,0.875794053,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.865447283,0.857456088,0.861433148,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870594561,0.853120744,0.86176908,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.858988106,0.853082776,0.856025219,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881725371,0.85349977,0.867382944,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.887284696,0.857490778,0.872133315,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.857493937,0.848944306,0.853197634,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.867741108,0.84781009,0.857659876,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.856070638,0.859257281,0.857660949,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872520208,0.865608513,0.869050682,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.866498053,0.860469699,0.863473356,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880555093,0.856113911,0.868162513,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.875474453,0.866769314,0.871100128,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868355274,0.852697492,0.860455155,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.900653362,0.851130843,0.875192106,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.900653362,0.851130843,0.875192106,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.885684252,0.862708569,0.874045432,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.891213238,0.85679704,0.873666286,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.889372945,0.872271121,0.880739033,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.875845671,0.861781538,0.868756652,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.934131265,0.867636442,0.899656832,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.904342055,0.868941605,0.886288404,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.841157973,0.854924083,0.847985148,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.902137399,0.883119881,0.892527342,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883696616,0.863779783,0.873624682,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.847307444,0.84943074,0.848367751,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883239627,0.877066731,0.880142391,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.853200138,0.858665824,0.855924308,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.935650349,0.870218217,0.901748836,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.838408113,0.856585979,0.847399533,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.912931681,0.868137836,0.889971495,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870839596,0.866547883,0.868688464,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.895547748,0.848199487,0.871230781,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881402969,0.859502792,0.870315135,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88299799,0.865678787,0.874252617,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.87370491,0.873713851,0.873709381,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.882536411,0.875371337,0.878939271,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879980743,0.877154768,0.87856549,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883792818,0.878056288,0.880915165,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.865912735,0.861634552,0.863768339,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.885632396,0.858498633,0.871854424,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.885033667,0.874736905,0.879855096,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.855931759,0.852366686,0.854145467,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.889347732,0.845880926,0.8670699,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.986769021,0.927056909,0.955981433,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.859084249,0.873528838,0.866246343,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883313119,0.860267282,0.87163794,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872543156,0.865595102,0.869055331,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872543156,0.865595102,0.869055331,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874476671,0.870860159,0.87266469,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88118732,0.854621589,0.867701173,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876254559,0.858557343,0.86731571,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.886734545,0.884607077,0.885669589,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878306091,0.887095451,0.882678866,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.889657617,0.861509204,0.875357151,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.891457915,0.867648244,0.879391968,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.889866292,0.866496623,0.878025949,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.886900306,0.871773422,0.879271865,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878030598,0.871271968,0.8746382,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.892910719,0.874430537,0.883574009,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.90092051,0.885198474,0.892990291,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.887867868,0.879666328,0.883748055,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.819470465,0.840491354,0.829847813,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.832319796,0.843753278,0.837997496,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871435046,0.856814981,0.864063203,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879440427,0.860815585,0.870028317,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.893871069,0.853047013,0.872982025,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.861548305,0.857903123,0.859721839,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.922090232,0.876629472,0.898785412,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.869666219,0.866699934,0.868180573,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883391142,0.861694932,0.872408152,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.893599272,0.850692213,0.871618032,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879968584,0.859695077,0.869713724,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.90007484,0.864234209,0.881790519,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.920313597,0.881495118,0.900486171,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.922083795,0.879590154,0.900335908,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.875913143,0.857080877,0.866394699,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.857372761,0.855610311,0.856490552,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878985524,0.861623526,0.870217919,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.888555467,0.880205333,0.884360731,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.915521502,0.901084244,0.908245504,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884516537,0.884170055,0.884343266,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.892111182,0.879562736,0.885792494,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878121197,0.871118605,0.874605894,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.828849554,0.864866018,0.846474826,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.862211406,0.883521914,0.872736573,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.847864449,0.869345725,0.858470678,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877489209,0.891370773,0.884375513,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88602531,0.898926139,0.892429113,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.866495371,0.884424984,0.875368416,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.900125861,0.890129745,0.895099938,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.912703574,0.900795102,0.906710207,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871637881,0.877218306,0.874419212,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.8722651,0.872410655,0.872337878,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871641159,0.872461915,0.872051358,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872205019,0.877668619,0.874928296,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.846239805,0.866873503,0.856432378,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.893581212,0.891984701,0.892782271,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.908426881,0.887656212,0.897921443,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88362515,0.852842033,0.867960751,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.94546628,0.902549207,0.923509359,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.894831538,0.874175906,0.884383082,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.909202933,0.88673389,0.897827864,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.834995329,0.844379008,0.839661002,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876122952,0.876515269,0.876319051,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.847687125,0.858108163,0.852865756,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.837668955,0.847779274,0.842693865,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.84353435,0.850422502,0.846964478,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.859101117,0.860500038,0.859800041,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.882730603,0.879699528,0.881212473,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.977032781,0.91432482,0.944639266,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.909562886,0.87962091,0.89434129,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872105896,0.861949146,0.866997778,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.852178752,0.860110164,0.85612613,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877601802,0.872682691,0.875135362,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.815217078,0.85339278,0.833868206,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872619152,0.862573981,0.867567539,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.940092742,0.883651137,0.910998642,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.897633314,0.882804155,0.890156925,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870494306,0.882324219,0.876369298,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.873334587,0.88246423,0.877875626,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.882453263,0.874838948,0.878629565,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871612072,0.874886453,0.873246193,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.867103934,0.874459088,0.870765924,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.864267349,0.887666583,0.875810683,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.962507904,0.88219893,0.920605302,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.914461732,0.880037606,0.896919429,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
