premise	initial	counterfactual	original_ending	generated_ending	bert_o1h1	bert_o1h123	bert_consec
The soccer game was tied 3 to 3 and there was a minute left to play.	Julie had never scored a goal yet, but knew today would be her day.	Julie was eagerly watching the game in the stands.	Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.	She was excited to see the game and she was excited to see her daughter. She was excited to see her daughter, and the game was going to be played. Julie's first thought was the game.	5.0733962059021	5.263059616088867	4.56239930788676
The soccer game was tied 3 to 3 and there was a minute left to play.	Julie had never scored a goal yet, but knew today would be her day.	Julie was eagerly watching the game in the stands.	Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.	She was excited to see the game was tied. She was excited to see the game was tied. Julie was excited to see the game was tied.	-1	-1	-1
The soccer game was tied 3 to 3 and there was a minute left to play.	Julie had never scored a goal yet, but knew today would be her day.	Julie was eagerly watching the game in the stands.	Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.	She was excited to see the game was tied. She was excited to see she could play and the game was tied. Julie's first thought was to go to the bathroom and get some water.	5.194336414337158	5.291403293609619	4.0748655796051025
The soccer game was tied 3 to 3 and there was a minute left to play.	Julie had never scored a goal yet, but knew today would be her day.	Julie was eagerly watching the game in the stands.	Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.	She was excited to see the game was tied. She was excited to see she could play and the game was tied. Julie's first goal was the game.	5.194336414337158	5.283900737762451	4.7885795434316
The soccer game was tied 3 to 3 and there was a minute left to play.	Julie had never scored a goal yet, but knew today would be her day.	Julie was eagerly watching the game in the stands.	Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.	She was excited to see the game was tied. She was excited to see she could play and she was excited to see her. Julie's first goal was the game winner.	5.194336414337158	5.2892069816589355	4.345786650975545
The soccer game was tied 3 to 3 and there was a minute left to play.	Julie had never scored a goal yet, but knew today would be her day.	Julie was eagerly watching the game in the stands.	Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.	She was excited to see the game was tied. She was excited to see she could play and the game was tied. Julie's first goal of the game.	5.194336414337158	5.282113552093506	4.597264051437378
The soccer game was tied 3 to 3 and there was a minute left to play.	Julie had never scored a goal yet, but knew today would be her day.	Julie was eagerly watching the game in the stands.	Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.	She was excited to see the game was tied. She was excited to see she could play and the team was winning the game. Julie's excitement was quickly turned to worry when she saw the referee was not giving the game to the team.	5.194336414337158	5.299156188964844	5.118159453074138
The soccer game was tied 3 to 3 and there was a minute left to play.	Julie had never scored a goal yet, but knew today would be her day.	Julie was eagerly watching the game in the stands.	Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.	She was excited to see the game was tied. She was excited to see she could play and the game was tied. Julie's excitement was to play.	5.194336414337158	5.2755656242370605	4.807073752085368
Molly loves popcorn.	She eats it everyday.	However, she ate too much of it one day, and never wants to eat it again.	On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.	She's not sure why, but she's not sure she wants to eat it again. She's a little worried that she'll get sick from eating too much of it. Molly is a little worried that she'll get sick from eating too much of it.	-1	-1	-1
Molly loves popcorn.	She eats it everyday.	However, she ate too much of it one day, and never wants to eat it again.	On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.	DEPRECATED	-1	-1	-1
