precision,recall,f1,hashcode
0.866607368,0.85985142,0.863216162,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868601441,0.863524318,0.866055429,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.889507651,0.874697387,0.882040381,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.885679662,0.882192135,0.883932471,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88302052,0.871620059,0.877283216,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.867789149,0.86934185,0.868564844,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876434326,0.863504231,0.869921267,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.849131107,0.867117286,0.858029902,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.855295897,0.867234051,0.861223638,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.857157052,0.864475429,0.860800743,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884539008,0.885370374,0.884954512,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878390551,0.879455388,0.878922641,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.875984311,0.869074047,0.872515559,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.86699146,0.87189877,0.869438231,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.900238395,0.871223032,0.88549304,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871394515,0.90459621,0.887685001,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.85378933,0.878712654,0.866071761,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868902385,0.869370639,0.869136453,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.861258388,0.872304142,0.866746068,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870304585,0.877120912,0.873699427,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.861348271,0.874104321,0.867679358,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.87782228,0.842236578,0.859661281,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.913434207,0.888575435,0.900833428,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.938776731,0.921044111,0.929825902,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871918023,0.871553063,0.871735454,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.799845397,0.905394673,0.849353433,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.892435372,0.885768175,0.889089346,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.901725709,0.88762027,0.894617379,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.888107896,0.867296934,0.877579033,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.863806367,0.856030583,0.859900892,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.875033677,0.886139214,0.880551457,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.85214597,0.855964303,0.854050815,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.869728804,0.842771471,0.856037974,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.875422835,0.864731014,0.870044112,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876627445,0.868065,0.872325182,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878597021,0.868057966,0.873295665,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872128606,0.859319866,0.86567688,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874345183,0.865971327,0.870138109,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.873262763,0.865090251,0.869157255,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.857310772,0.871079862,0.864140451,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
